编号 No.,学校名称(中文) School Name (Chinese),学校名称(英文) School Name (English),区域(中文) District (Chinese),区域(英文) District (English)
650,礼贤会乐富幼儿园,LOK FU RHENISH NURSERY,黄大仙区,Wong Tai Sin
651,乐善堂顾李觉鲜幼稚园,LOK SIN TONG KU LEE KWOK SIN KINDERGARTEN,黄大仙区,Wong Tai Sin
652,新九龙妇女会慈云山幼儿园,NEW KOWLOON WOMEN ASSOCIATION TSZ WAN SHAN NURSERY,黄大仙区,Wong Tai Sin
653,圣母幼稚园,OUR LADY'S KINDERGARTEN,黄大仙区,Wong Tai Sin
654,保良局方谭远良（慈云山）幼稚园,PO LEUNG KUK FONG TAM YUEN LEUNG (TSZ WAN SHAN) KINDERGARTEN,黄大仙区,Wong Tai Sin
655,保良局金卿幼稚园,PO LEUNG KUK KAM HING KINDERGARTEN,黄大仙区,Wong Tai Sin
656,保良局谢黄沛涓幼稚园,PO LEUNG KUK TSE WONG PUI KUEN KINDERGARTEN,黄大仙区,Wong Tai Sin
657,保良局王少清幼稚园,PO LEUNG KUK WONG SIU CHING KINDERGARTEN,黄大仙区,Wong Tai Sin
658,路德会救恩幼稚园,REDEMPTION LUTHERAN KINDERGARTEN,黄大仙区,Wong Tai Sin
659,圣公会慈光堂柯佩璋幼稚园,S.K.H. KINDLY LIGHT CHURCH OR PUI CHEUNG KINDERGARTEN,黄大仙区,Wong Tai Sin
660,礼贤会新蒲岗幼儿园,SAN PO KONG RHENISH NURSERY,黄大仙区,Wong Tai Sin
661,路德会沙仑堂幼稚园（慈爱分校）,SHARON LUTHERAN CHURCH KINDERGARTEN (TSZ OI BRANCH),黄大仙区,Wong Tai Sin
662,信生中英文幼稚园,SHUN SANG ANGLO-CHINESE KINDERGARTEN,黄大仙区,Wong Tai Sin
663,圣母洁心会黄大仙幼稚园,SISTERS OF THE IMMACULATE HEART OF MARY WONG TAI SIN KINDERGARTEN,黄大仙区,Wong Tai Sin
664,香港小童群益会乐致幼稚园（黄大仙）,THE BOYS' AND GIRLS' CLUBS ASSOCIATION OF HONG KONG CHEERLAND KINDERGARTEN (WONG TAI SIN),黄大仙区,Wong Tai Sin
665,基督教香港崇真会安强幼儿学校,TSUNG TSIN MISSION OF HONG KONG ON KEUNG NURSERY SCHOOL,黄大仙区,Wong Tai Sin
666,慈正邨菩提幼稚园,TSZ CHING ESTATE BODHI SIKSA KINDERGARTEN,黄大仙区,Wong Tai Sin
667,东华三院黎邓润球幼稚园,TUNG WAH GROUP OF HOSPITALS LAI TANG YUEN-KAW KINDERGARTEN,黄大仙区,Wong Tai Sin
668,东华三院方肇彝幼儿园,TWGHS FONG SHIU YEE NURSERY SCHOOL,黄大仙区,Wong Tai Sin
669,东华三院群芳幼儿园,TWGHS KWAN FONG NURSERY SCHOOL,黄大仙区,Wong Tai Sin
670,遵道幼稚园（南边围地段102号校址）,ABIDING KINDERGARTEN (LOCATION: LOT NO. 102),元朗区,Yuen Long
671,遵道幼稚园（南边围地段239号校址）,ABIDING KINDERGARTEN (LOCATION: LOT NO. 239),元朗区,Yuen Long
672,翰林幼稚园（天水围）,ACADEMY KINDERGARTEN (TIN SHUI WAI),元朗区,Yuen Long
673,雅丽斯俊宏轩幼稚园,AGNES KINDERGARTEN (GRANDEUR TERRACE),元朗区,Yuen Long
674,雅丽斯乐思幼稚园,AGNES WISE KINDERGARTEN,元朗区,Yuen Long
675,浸信会华恩幼稚园,BAPTIST CHURCH SHINING GRACE KINDERGARTEN,元朗区,Yuen Long
676,佛教慈光幼稚园,BUDDHIST CHI KWONG KINDERGARTEN,元朗区,Yuen Long
677,世德幼稚园,CASTAR KINDERGARTEN,元朗区,Yuen Long
678,幼联主办安泰幼儿学校,CECES ORGANIZED AETNA PRESCHOOL,元朗区,Yuen Long
679,中华基督教青年会幼稚园,CHINESE Y.M.C.A. KINDERGARTEN,元朗区,Yuen Long
680,基督教宣道会锦绣幼稚园,CHRISTIAN & MISSIONARY ALLIANCE FAIRVIEW PARK KINDERGARTEN,元朗区,Yuen Long
681,基督教宣道会天颂幼儿学校,CHRISTIAN & MISSIONARY ALLIANCE TIN CHUNG NURSERY SCHOOL,元朗区,Yuen Long
682,宣道会陈李咏贞纪念幼稚园,CHRISTIAN ALLIANCE CHEN LEE WING TSING MEMORIAL KINDERGARTEN,元朗区,Yuen Long
683,香港中文大学校友会联会陈震夏幼稚园,CUHK FAA CHAN CHUN HA KINDERGARTEN,元朗区,Yuen Long
684,香港中文大学校友会联会顺龙仁泽幼稚园,CUHK FAA SHUN LUNG YAN CHAK KINDERGARTEN,元朗区,Yuen Long
685,英扬乐儿中英文幼稚园,ELITE KIDS ANGLO-CHINESE KINDERGARTEN,元朗区,Yuen Long
686,中国基督教播道会天恩幼儿学校,EVANGELICAL FREE CHURCH OF CHINA - TIN YAN NURSERY SCHOOL,元朗区,Yuen Long
687,神召会礼拜堂天泽幼儿园,FIRST ASSEMBLY OF GOD CHURCH TIN CHAK NURSERY,元朗区,Yuen Long
688,激活幼稚园,GIGAMIND KINDERGARTEN,元朗区,Yuen Long
689,佳宝幼稚园第三分校（天瑞邨）,GUIDEPOSTS KINDERGARTEN 3RD BRANCH (TIN SHUI ESTATE),元朗区,Yuen Long
690,香海正觉莲社佛教林黄明慧幼稚园,HHCKLA BUDDHIST LAM WONG MING WAI KINDERGARTEN,元朗区,Yuen Long
691,啬色园主办可瑞幼稚园,HO SHUI KINDERGARTEN SPONSORED BY SIK SIK YUEN,元朗区,Yuen Long
692,香港基督教服务处天恒幼儿学校,HONG KONG CHRISTIAN SERVICE TIN HENG NURSERY SCHOOL,元朗区,Yuen Long
693,香港圣公会夏瑞芸幼儿学校,HONG KONG SHENG KUNG HUI HA SUI WAN NURSERY SCHOOL,元朗区,Yuen Long
694,殷翠幼稚园,JADE KINDERGARTEN,元朗区,Yuen Long
695,晶晶中英文幼稚园（洪水桥分校）,JING JING ANGLO-CHINESE KINDERGARTEN (HUNG SHUI KIU BRANCH),元朗区,Yuen Long
696,珈琳中英文幼稚园,KARLAM ANGLO-CHINESE KINDERGARTEN,元朗区,Yuen Long
697,朗屏邨圣恩幼稚园,LONG PING ESTATE SING YAN KINDERGARTEN,元朗区,Yuen Long
698,新界神召会怀恩幼稚园,N.T. ASSEMBLIES OF GOD CHURCH WAI YAN KINDERGARTEN,元朗区,Yuen Long
699,新界妇孺福利会元朗幼儿学校,NEW TERRITORIES WOMEN & JUVENILES WELFARE ASSOCIATION LIMITED YUEN LONG NURSERY SCHOOL,元朗区,Yuen Long
700,平安福音堂幼稚园（天水围）,PEACE EVANGELICAL CENTRE KINDERGARTEN (TIN SHUI WAI),元朗区,Yuen Long
701,保良局曾星如幼稚园,PO LEUNG KUK CHAN SENG YEE KINDERGARTEN,元朗区,Yuen Long
702,保良局郭罗桂珍幼稚园,PO LEUNG KUK ELEANOR KWOK LAW KWAI CHUN KINDERGARTEN,元朗区,Yuen Long
703,保良局廖笑霞幼稚园,PO LEUNG KUK LIU SEW HAR KINDERGARTEN,元朗区,Yuen Long
704,博爱医院陈潘佩清纪念幼稚园,POK OI HOSPITAL CHAN POON PUI CHING MEMORIAL KINDERGARTEN,元朗区,Yuen Long
705,博爱医院朱国京夫人纪念幼稚园,POK OI HOSPITAL MRS CHU KWOK KING MEMORIAL KINDERGARTEN,元朗区,Yuen Long
706,天纯幼稚园,PRISTINE KINDERGARTEN,元朗区,Yuen Long
707,丽晶幼稚园分校,REGENT'S KINDERGARTEN (BRANCH SCHOOL),元朗区,Yuen Long
708,圣公会圣约瑟堂幼稚园,S.K.H. ST. JOSEPH'S CHURCH KINDERGARTEN,元朗区,Yuen Long
709,-,SAGARMATHA KINDERGARTEN,元朗区,Yuen Long
710,圣公会圣马提亚堂幼儿学校,ST MATTHIAS' CHURCH NURSERY SCHOOL,元朗区,Yuen Long
711,天主教圣叶理诺幼稚园,ST. JEROME'S CATHOLIC KINDERGARTEN,元朗区,Yuen Long
712,圣马提亚堂肖珍幼稚园,ST. MATTHIAS' CHURCH CHIU CHUN KINDERGARTEN,元朗区,Yuen Long
713,太阳岛英文幼稚园（元朗分校）,SUN ISLAND ENGLISH KINDERGARTEN (YUEN LONG BRANCH),元朗区,Yuen Long
714,大埔浸信会幼稚园天泽邨分校,TAI PO BAPTIST KINDERGARTEN TIN CHAK ESTATE BRANCH,元朗区,Yuen Long
715,天乐幼稚园,TALENT KINDERGARTEN,元朗区,Yuen Long
716,基督教圣约教会小天使（天盛）幼稚园,THE MISSION COVENANT CHURCH LITTLE ANGEL (TIN SHING) KINDERGARTEN,元朗区,Yuen Long
717,邻舍辅导会元朗幼儿园,THE NEIGHBOURHOOD ADVICE-ACTION COUNCIL YUEN LONG DAY NURSERY,元朗区,Yuen Long
718,救世军锦田幼儿学校,THE SALVATION ARMY KAM TIN NURSERY SCHOOL,元朗区,Yuen Long
719,天水围宣道幼稚园,TIN SHUI WAI ALLIANCE KINDERGARTEN,元朗区,Yuen Long
720,青衣商会天水围幼稚园,TSING YI TRADE ASSOCIATION TIN SHUI WAI KINDERGARTEN,元朗区,Yuen Long
721,东华三院黄朱惠芬幼稚园,TUNG WAH GROUP OF HOSPITALS WONG CHU WAI FUN KINDERGARTEN,元朗区,Yuen Long
722,东华三院九龙崇德社幼儿园,TWGHS  ZONTA CLUB OF KOWLOON NURSERY SCHOOL,元朗区,Yuen Long
723,仁济医院明德幼稚园,YAN CHAI HOSPITAL MING TAK KINDERGARTEN,元朗区,Yuen Long
724,仁济医院林李婉冰幼稚园,YAN CHAI HOSPITAL NINA LAM KINDERGARTEN,元朗区,Yuen Long
725,仁爱堂吴黄凤英幼稚园,YAN OI TONG NG WONG FUNG YING KINDERGARTEN,元朗区,Yuen Long
726,元冈幼稚园,YUEN KONG KINDERGARTEN,元朗区,Yuen Long
727,中华基督教会元朗堂真光幼稚园二校,YUEN LONG CHURCH (CCC) CHAN KWONG NO. 2 KINDERGARTEN,元朗区,Yuen Long
728,中华基督教会元朗堂真光幼稚园,YUEN LONG CHURCH (CHURCH OF CHRIST IN CHINA) CHAN KWONG KINDERGARTEN,元朗区,Yuen Long
729,中华基督教会元朗堂周宋主爱幼儿园,YUEN LONG CHURCH (CHURCH OF CHRIST IN CHINA) CHOW SUNG CHU OI NURSERY SCHOOL,元朗区,Yuen Long
730,中华基督教会元朗堂朗屏邨真光幼稚园,YUEN LONG CHURCH (CHURCH OF CHRIST IN CHINA) LONG PING ESTATE CHAN KWONG KINDERGARTEN,元朗区,Yuen Long
731,元朗信义会生命幼稚园,YUEN LONG LUTHERAN LIFE KINDERGARTEN,元朗区,Yuen Long
732,元朗商会幼稚园,YUEN LONG MERCHANTS ASSOCIATION KINDERGARTEN,元朗区,Yuen Long
733,元朗公立中学校友会刘良骧纪念幼稚园,YUEN LONG PUBLIC MIDDLE SCHOOL ALUMNI ASSOCIATION LAU LEUNG SHEUNG MEMORIAL KINDERGARTEN,元朗区,Yuen Long
734,礼贤会元朗幼儿园,YUEN LONG RHENISH NURSERY,元朗区,Yuen Long
735,元朗三育幼稚园,YUEN LONG SAM YUK KINDERGARTEN,元朗区,Yuen Long
736,元朗东莞同乡会熊定嘉幼稚园,YUEN LONG TUNG KOON DISTRICT ASSOCIATION HUNG TING KA KINDERGARTEN,元朗区,Yuen Long
737,元朗东莞同乡会王少强夫人幼稚园,YUEN LONG TUNG KOON DISTRICT ASSOCIATION MRS WONG SIU KEUNG KINDERGARTEN,元朗区,Yuen Long
738,圆玄幼稚园（天逸邨）,YUEN YUEN KINDERGARTEN (TIN YAT ESTATE),元朗区,Yuen Long
739,中华基督教会望觉堂贤贞幼稚园,C C C MONGKOK CHURCH JEANNETTE KINDERGARTEN,油尖旺区,Yau Tsim Mong
740,迦南幼稚园（富荣花园）,CANNAN KINDERGARTEN (CHARMING GARDEN),油尖旺区,Yau Tsim Mong
741,启文幼稚园,CLEMENT KINDERGARTEN,油尖旺区,Yau Tsim Mong
742,明我幼稚园（奥运校）,DOMINIC SAVIO KINDERGARTEN (OLYMPIC BRANCH),油尖旺区,Yau Tsim Mong
743,协康会康苗幼儿园,HEEP HONG SOCIETY HEALTHY KIDS NURSERY SCHOOL,油尖旺区,Yau Tsim Mong
744,香港基督教服务处隽汇幼儿学校,HONG KONG CHRISTIAN SERVICE CENTRAL NURSERY SCHOOL,油尖旺区,Yau Tsim Mong
745,香港保护儿童会中银幼儿学校,HONG KONG SOCIETY FOR THE PROTECTION OF CHILDREN BOC NURSERY SCHOOL,油尖旺区,Yau Tsim Mong
746,香港保护儿童会汇丰银行慈善基金幼儿学校,HONG KONG SOCIETY FOR THE PROTECTION OF CHILDREN HONG KONG BANK FOUNDATION NURSERY SCHOOL,油尖旺区,Yau Tsim Mong
747,香港保护儿童会百佳员工慈善基金幼儿学校,HONG KONG SOCIETY FOR THE PROTECTION OF CHILDREN PARK'N SHOP STAFF CHARITABLE FUND NURSERY SCHOOL,油尖旺区,Yau Tsim Mong
748,香港保护儿童会砵兰街幼儿学校,HONG KONG SOCIETY FOR THE PROTECTION OF CHILDREN PORTLAND STREET NURSERY SCHOOL,油尖旺区,Yau Tsim Mong
749,-,LITTLE BUDS KINDERGARTEN,油尖旺区,Yau Tsim Mong
750,旺角雅丽斯英文幼稚园,MONG KOK AGNES ENGLISH KINDERGARTEN,油尖旺区,Yau Tsim Mong
751,保良局吕锦泰幼稚园,PO LEUNG KUK LUI KAM TAI KINDERGARTEN,油尖旺区,Yau Tsim Mong
752,骏发花园浸信会幼儿学校,PROSPEROUS GARDEN BAPTIST NURSERY SCHOOL,油尖旺区,Yau Tsim Mong
753,深培中英文幼稚园,SEMPLE KINDERGARTEN,油尖旺区,Yau Tsim Mong
754,太阳岛幼稚园（港湾豪庭分校）,SUN ISLAND KINDERGARTEN (METRO HARBOUR BRANCH),油尖旺区,Yau Tsim Mong
755,大同新邨圣德肋撒幼稚园,TAI TUNG SUN CHUEN ST TERESA KINDERGARTEN,油尖旺区,Yau Tsim Mong
756,德信幼稚园,TAK SUN KINDERGARTEN (Name in the past: TAK SUN PRIVATE KINDERGARTEN),油尖旺区,Yau Tsim Mong
757,香港青年协会青乐幼稚园（油麻地）,THE HONG KONG FEDERATION OF YOUTH GROUPS CHING LOK KINDERGARTEN (YAUMATEI),油尖旺区,Yau Tsim Mong
758,救世军卜凯赛琳幼儿学校,THE SALVATION ARMY CATHERINE BOOTH NURSERY SCHOOL,油尖旺区,Yau Tsim Mong
759,救世军陈昆栋幼稚园,THE SALVATION ARMY CHAN KWAN TUNG KINDERGARTEN,油尖旺区,Yau Tsim Mong
760,救世军海富幼儿学校,THE SALVATION ARMY HOI FU NURSERY SCHOOL,油尖旺区,Yau Tsim Mong
761,救世军荔枝角幼儿学校,THE SALVATION ARMY LAI CHI KOK NURSERY SCHOOL,油尖旺区,Yau Tsim Mong
762,仁爱堂陈郑玉而幼稚园,YAN OI TONG CHAN CHENG YUK YEE KINDERGARTEN,油尖旺区,Yau Tsim Mong
763,油麻地循道卫理杨震幼儿学校,YAUMATEI YANG MEMORIAL METHODIST PRE-SCHOOL,油尖旺区,Yau Tsim Mong
